onset	duration	value	sample	trial_idx	val	del	is_cued	rev_opts	del_pres_displaytime	del_pres_triggertime	del_pres_triggercode	val_pres_displaytime	val_pres_triggertime	val_pres_triggercode	choice_displaytime	choice_triggertime	choice_triggercode	choice	choice_time	viv_displaytime	viv_triggertime	viv_triggercode	viv	viv_time
28.609375	0.0	80	58592	1	73	365	1	0	907713.5842335	907713.585968	80	907716.774682	907716.7763877	40	907720.275734	907720.2776079	100	del	907721.8866959	907722.4026846	907722.4040058	120.0	3.0	907726.9660513
31.80029296875	0.0	40	65127	1	73	365	1	0	907713.5842335	907713.585968	80	907716.774682	907716.7763877	40	907720.275734	907720.2776079	100	del	907721.8866959	907722.4026846	907722.4040058	120.0	3.0	907726.9660513
35.30126953125	0.0	100	72297	1	73	365	1	0	907713.5842335	907713.585968	80	907716.774682	907716.7763877	40	907720.275734	907720.2776079	100	del	907721.8866959	907722.4026846	907722.4040058	120.0	3.0	907726.9660513
37.42822265625	0.0	120	76653	1	73	365	1	0	907713.5842335	907713.585968	80	907716.774682	907716.7763877	40	907720.275734	907720.2776079	100	del	907721.8866959	907722.4026846	907722.4040058	120.0	3.0	907726.9660513
44.0693359375	0.0	80	90254	2	97	110	0	1	907729.0440216	907729.0444958	80	907732.4184043	907732.4189093	40	907735.7559014	907735.7563903	100	imm	907737.9816963	nan	nan	nan	nan	nan
47.443359375	0.0	40	97164	2	97	110	0	1	907729.0440216	907729.0444958	80	907732.4184043	907732.4189093	40	907735.7559014	907735.7563903	100	imm	907737.9816963	nan	nan	nan	nan	nan
50.78076171875	0.0	100	103999	2	97	110	0	1	907729.0440216	907729.0444958	80	907732.4184043	907732.4189093	40	907735.7559014	907735.7563903	100	imm	907737.9816963	nan	nan	nan	nan	nan
55.94140625	0.0	80	114568	3	60	110	0	1	907740.9163728	907740.9168066	80	907744.1240408	907744.1245382	40	907747.5129847	907747.513498	100	del	907749.9258004	nan	nan	nan	nan	nan
59.14892578125	0.0	40	121137	3	60	110	0	1	907740.9163728	907740.9168066	80	907744.1240408	907744.1245382	40	907747.5129847	907747.513498	100	del	907749.9258004	nan	nan	nan	nan	nan
62.53759765625	0.0	100	128077	3	60	110	0	1	907740.9163728	907740.9168066	80	907744.1240408	907744.1245382	40	907747.5129847	907747.513498	100	del	907749.9258004	nan	nan	nan	nan	nan
67.884765625	0.0	80	139028	4	77	7	1	1	907752.8600192	907752.8605192	80	907756.0288794	907756.0293624	40	907759.3182631	907759.3189152	100	del	907760.8874728	907761.3974299	907761.3976986	120.0	2.0	907765.7264012
71.05322265625	0.0	40	145517	4	77	7	1	1	907752.8600192	907752.8605192	80	907756.0288794	907756.0293624	40	907759.3182631	907759.3189152	100	del	907760.8874728	907761.3974299	907761.3976986	120.0	2.0	907765.7264012
74.3427734375	0.0	100	152254	4	77	7	1	1	907752.8600192	907752.8605192	80	907756.0288794	907756.0293624	40	907759.3182631	907759.3189152	100	del	907760.8874728	907761.3974299	907761.3976986	120.0	2.0	907765.7264012
76.421875	0.0	120	156512	4	77	7	1	1	907752.8600192	907752.8605192	80	907756.0288794	907756.0293624	40	907759.3182631	907759.3189152	100	del	907760.8874728	907761.3974299	907761.3976986	120.0	2.0	907765.7264012
83.25439453125	0.0	80	170505	5	87	60	1	1	907768.2299487	907768.2303224	80	907771.5120811	907771.5125777	40	907774.6908903	907774.6914001	100	del	907777.0220339	907777.5308707	907777.5311697	120.0	3.0	907786.3102247
86.5361328125	0.0	40	177226	5	87	60	1	1	907768.2299487	907768.2303224	80	907771.5120811	907771.5125777	40	907774.6908903	907774.6914001	100	del	907777.0220339	907777.5308707	907777.5311697	120.0	3.0	907786.3102247
89.71484375	0.0	100	183736	5	87	60	1	1	907768.2299487	907768.2303224	80	907771.5120811	907771.5125777	40	907774.6908903	907774.6914001	100	del	907777.0220339	907777.5308707	907777.5311697	120.0	3.0	907786.3102247
92.5546875	0.0	120	189552	5	87	60	1	1	907768.2299487	907768.2303224	80	907771.5120811	907771.5125777	40	907774.6908903	907774.6914001	100	del	907777.0220339	907777.5308707	907777.5311697	120.0	3.0	907786.3102247
103.65966796875	0.0	80	212295	6	60	280	0	1	907788.6359266	907788.6364017	80	907791.8238281	907791.8243118	40	907795.2158261	907795.2162998	100	del	907800.2861894	nan	nan	nan	nan	nan
106.84765625	0.0	40	218824	6	60	280	0	1	907788.6359266	907788.6364017	80	907791.8238281	907791.8243118	40	907795.2158261	907795.2162998	100	del	907800.2861894	nan	nan	nan	nan	nan
110.2392578125	0.0	100	225770	6	60	280	0	1	907788.6359266	907788.6364017	80	907791.8238281	907791.8243118	40	907795.2158261	907795.2162998	100	del	907800.2861894	nan	nan	nan	nan	nan
118.0341796875	0.0	80	241734	7	80	365	1	1	907803.0105447	907803.0109536	80	907806.2656125	907806.2661046	40	907809.6262461	907809.6267056	100	del	907816.3103258	907816.8197496	907816.8200299	120.0	1.0	907820.4221643
121.2890625	0.0	40	248400	7	80	365	1	1	907803.0105447	907803.0109536	80	907806.2656125	907806.2661046	40	907809.6262461	907809.6267056	100	del	907816.3103258	907816.8197496	907816.8200299	120.0	1.0	907820.4221643
124.6494140625	0.0	100	255282	7	80	365	1	1	907803.0105447	907803.0109536	80	907806.2656125	907806.2661046	40	907809.6262461	907809.6267056	100	del	907816.3103258	907816.8197496	907816.8200299	120.0	1.0	907820.4221643
131.8427734375	0.0	120	270014	7	80	365	1	1	907803.0105447	907803.0109536	80	907806.2656125	907806.2661046	40	907809.6262461	907809.6267056	100	del	907816.3103258	907816.8197496	907816.8200299	120.0	1.0	907820.4221643
137.943359375	0.0	80	282508	8	60	1030	0	1	907822.9205428	907822.9208526	80	907826.091859	907826.09252	40	907829.5243361	907829.5247869	100	imm	907831.838338	nan	nan	nan	nan	nan
141.11474609375	0.0	40	289003	8	60	1030	0	1	907822.9205428	907822.9208526	80	907826.091859	907826.09252	40	907829.5243361	907829.5247869	100	imm	907831.838338	nan	nan	nan	nan	nan
144.546875	0.0	100	296032	8	60	1030	0	1	907822.9205428	907822.9208526	80	907826.091859	907826.09252	40	907829.5243361	907829.5247869	100	imm	907831.838338	nan	nan	nan	nan	nan
149.74951171875	0.0	80	306687	9	50	110	0	1	907834.7268953	907834.7275069	80	907838.2119062	907838.2123148	40	907841.2406946	907841.2411641	100	imm	907843.063242	nan	nan	nan	nan	nan
153.234375	0.0	40	313824	9	50	110	0	1	907834.7268953	907834.7275069	80	907838.2119062	907838.2123148	40	907841.2406946	907841.2411641	100	imm	907843.063242	nan	nan	nan	nan	nan
156.26318359375	0.0	100	320027	9	50	110	0	1	907834.7268953	907834.7275069	80	907838.2119062	907838.2123148	40	907841.2406946	907841.2411641	100	imm	907843.063242	nan	nan	nan	nan	nan
160.77685546875	0.0	80	329271	10	80	1030	0	1	907845.7548455	907845.7551983	80	907849.0938874	907849.094327	40	907852.2441481	907852.2444506	100	imm	907854.2782679	nan	nan	nan	nan	nan
164.1162109375	0.0	40	336110	10	80	1030	0	1	907845.7548455	907845.7551983	80	907849.0938874	907849.094327	40	907852.2441481	907852.2444506	100	imm	907854.2782679	nan	nan	nan	nan	nan
167.26611328125	0.0	100	342561	10	80	1030	0	1	907845.7548455	907845.7551983	80	907849.0938874	907849.094327	40	907852.2441481	907852.2444506	100	imm	907854.2782679	nan	nan	nan	nan	nan
171.9287109375	0.0	80	352110	11	60	7	1	1	907856.9065427	907856.9068882	80	907860.269667	907860.2701919	40	907863.5965518	907863.5970812	100	del	907867.5738595	907868.0831967	907868.0834566	120.0	2.0	907871.1820218
175.29150390625	0.0	40	358997	11	60	7	1	1	907856.9065427	907856.9068882	80	907860.269667	907860.2701919	40	907863.5965518	907863.5970812	100	del	907867.5738595	907868.0831967	907868.0834566	120.0	2.0	907871.1820218
178.61865234375	0.0	100	365811	11	60	7	1	1	907856.9065427	907856.9068882	80	907860.269667	907860.2701919	40	907863.5965518	907863.5970812	100	del	907867.5738595	907868.0831967	907868.0834566	120.0	2.0	907871.1820218
183.10498046875	0.0	120	374999	11	60	7	1	1	907856.9065427	907856.9068882	80	907860.269667	907860.2701919	40	907863.5965518	907863.5970812	100	del	907867.5738595	907868.0831967	907868.0834566	120.0	2.0	907871.1820218
188.51318359375	0.0	80	386075	12	93	110	0	1	907873.4917489	907873.4921332	80	907876.8296715	907876.8301527	40	907879.8665116	907879.867024	100	imm	907881.8536532	nan	nan	nan	nan	nan
